topic,term,estimate,std.error,statistic,p.value
2,University of Lincoln,0.44347159105919465,0.13873891506826938,3.1964470159001546,0.0014770577274429782
2,University of Teesside,0.44744457167014245,0.15139348317843074,2.955507478104517,0.0032651166158003952
5,De Montfort University,0.28287004718916475,0.09879296837054843,2.863260937035396,0.004364618522284765
5,London School of Economics & Pol Sci,0.36965504025706913,0.1336076448830717,2.766720726052593,0.005866683567108358
5,Northumbria University,0.6047247427739136,0.19651223921010177,3.077287934861757,0.0022005688002028094
5,Nottingham Trent University,0.7379874287438554,0.10229263387779192,7.214472839026926,1.9572734144364207e-12
5,The National Archives,0.4482986949623496,0.14240762621032588,3.1479964022449507,0.0017395925940148877
6,Newcastle University,0.3374819385470522,0.11454920674430932,2.9461743833840903,0.0033635578930068795
6,University of York,0.283634435440198,0.10471364168585781,2.7086674751614956,0.00698111961176782
7,Imperial College London,-0.22215736279992668,0.0830003164142654,-2.6765845287999905,0.007675699491749037
7,King's College London,-0.23054163167045863,0.08651346563142051,-2.6648063395431594,0.007945886617280663
7,University of Aberdeen,-0.2665093382710457,0.09737451594317571,-2.7369516108975684,0.006416305632970656
7,University of Cambridge,-0.26137455349965383,0.08395099525727714,-3.1134181637590177,0.0019525787038271387
7,University of Edinburgh,-0.24956424703224755,0.08255856211395007,-3.0228754067662984,0.002629052704810407
7,University of Essex,-0.2670819505180672,0.10140426221722129,-2.6338335754166082,0.00869761057076827
7,University of Glasgow,-0.24823439110677925,0.09286780447624227,-2.6729865372265085,0.007757346649301361
7,University of Manchester,-0.25644778253352524,0.08869343860315541,-2.891395198701899,0.003998032582192988
7,University of Oxford,-0.25452354895903867,0.082398938090197,-3.088917829018956,0.002117749877297135
7,University of Sheffield,-0.2648057136848178,0.08354712946664129,-3.1695369472933175,0.001617967490483868
7,University of Southampton,-0.2588677197134532,0.08732886225897016,-2.964285953317376,0.0031749348864878635
7,University of Strathclyde,-0.26303567209820167,0.09851039414513622,-2.670131150938945,0.007822696863612876
7,University of Surrey,-0.2656340030421736,0.09152063139800742,-2.902449414787986,0.0038618380224226517
7,University of Warwick,-0.26785758775100027,0.10270564111547692,-2.608012421146712,0.009372367931375306
7,University of York,-0.26978995212579737,0.10045844084738406,-2.685587690293351,0.007474770443726093
8,Basque Centre for Climate Change bc3,0.6922319130833636,0.16929309222918865,4.08895545570295,5.029679396046031e-5
8,De Montfort University,0.4286010519145771,0.1396898046173173,3.0682343145137705,0.002267091209644011
8,Swansea University,0.48351738300472846,0.140862915377093,3.4325385195268905,6.462758154740294e-4
8,University of Huddersfield,0.7984119221358703,0.19033081123847959,4.194864283615546,3.2171580851375855e-5
9,Durham University,0.22461509946504213,0.0837670615412589,2.68142507725915,0.007567074529669541
10,Institute of Education,0.7300252968828357,0.1943297254153557,3.756632163826183,1.9196612356703612e-4
11,University of Kent,0.35170184224098267,0.12307432146179538,2.85763787330859,0.0044414525850221065
11,University of Stirling,0.7707811165217867,0.1952079568752347,3.94851280070732,8.962353951810102e-5
13,Bangor University,0.8818378443898511,0.1573440249092999,5.604520698502417,3.413480199673004e-8
13,EMBL - European Bioinformatics Institute,0.36412172368061935,0.11086390420033504,3.2844028568815182,0.0010917780477804897
13,University of Leicester,0.34417793257564067,0.12540287374171377,2.7445777142597807,0.0062712469692275
14,Manchester Metropolitan University,0.573149483081985,0.14932080391971936,3.838376622926115,1.3931253722149545e-4
14,SRUC,0.7513327930613527,0.23783469089639228,3.159054678817461,0.0016761382922103366
14,University of Abertay Dundee,0.8120142358832773,0.2853796258148369,2.845382649741566,0.004613184974296407
14,University of Portsmouth,0.3598515409507821,0.11540881036100335,3.1180595296420797,0.0019226576987235347
16,Coventry University,0.34824758755379115,0.1282389732911462,2.7156142833672754,0.00683839496525212
16,University of Kent,0.27350970827065596,0.09466726545049298,2.889168784680805,0.004025986917610893
16,University of Wolverhampton,0.8807959856143089,0.16894673897265167,5.213453606564659,2.692142916724989e-7
17,Diamond Light Source,0.7823367097974511,0.27517772488202386,2.843023395635893,0.0046469293835254425
17,Middlesex University,0.6430952839050432,0.19475889675895403,3.302007223325868,0.0010268545269815537
18,Bournemouth University,0.7375295687697923,0.2419188524430461,3.048665126019584,0.0024172359398407423
20,University of Oxford,0.17055411744749702,0.060792209168065416,2.8055259017810186,0.0052142132884879676
20,University of Plymouth,0.30325078318225357,0.1123554464582569,2.6990305565197454,0.007183556616059574
